Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,MVP 1.5x Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,Roster Position
134497-136855,RB,Bijan,Bijan Robinson,Robinson,18.450000762939453,2,13000,19500,ATL@GB,ATL,GB,,,,,MVP - 1.5X Points/AnyFLEX
134497-69017,QB,Jordan,Jordan Love,Love,18.639999389648438,2,12400,18600,ATL@GB,GB,ATL,,,,,MVP - 1.5X Points/AnyFLEX
134497-112745,WR,Drake,Drake London,London,5.699999809265137,2,11400,17100,ATL@GB,ATL,GB,,,,,MVP - 1.5X Points/AnyFLEX
134497-169776,WR,Christian,Christian Watson,Watson,22.399999618530273,2,10800,16200,ATL@GB,GB,ATL,,,,,MVP - 1.5X Points/AnyFLEX
134497-44715,QB,Cooper,Cooper Rush,Rush,4.579999923706055,2,10200,15300,ATL@GB,ATL,GB,,,,,MVP - 1.5X Points/AnyFLEX
134497-90572,QB,Tua,Tua Tagovailoa,Tagovailoa,12.764285496303014,14,10200,15300,ATL@GB,ATL,GB,,,,,MVP - 1.5X Points/AnyFLEX
134497-88797,QB,Michael,Michael Penix Jr.,Penix Jr.,14.03111097547743,9,10200,15300,ATL@GB,ATL,GB,,,,,MVP - 1.5X Points/AnyFLEX
134497-119697,RB,MarShawn,MarShawn Lloyd,Lloyd,5.650000095367432,2,9400,14100,ATL@GB,GB,ATL,,,,,MVP - 1.5X Points/AnyFLEX
134497-243753,QB,Jack,Jack Strand,Strand,0.9599999785423279,1,9000,13500,ATL@GB,ATL,GB,,,,,MVP - 1.5X Points/AnyFLEX
134497-160303,TE,Tucker,Tucker Kraft,Kraft,5.25,2,8600,12900,ATL@GB,GB,ATL,,,,,MVP - 1.5X Points/AnyFLEX
134497-166916,WR,Matthew,Matthew Golden,Golden,10.149999618530273,2,8200,12300,ATL@GB,GB,ATL,,,,,MVP - 1.5X Points/AnyFLEX
134497-14377,QB,Tyrod,Tyrod Taylor,Taylor,10.743333180745443,6,8000,12000,ATL@GB,GB,ATL,,,,,MVP - 1.5X Points/AnyFLEX
134497-86080,TE,Kyle,Kyle Pitts Sr.,Pitts Sr.,1,2,7600,11400,ATL@GB,ATL,GB,,,,,MVP - 1.5X Points/AnyFLEX
134497-168916,RB,Kaleb,Kaleb Johnson,Johnson,1.600000023841858,2,7200,10800,ATL@GB,GB,ATL,,,,,MVP - 1.5X Points/AnyFLEX
